releaseName,bromaReleaseId,dbState,releaseId,trackId,errorMessage,bsonFixed,bromaStatus,hopeless
"Yaadon Ke Jharoke","45341","delivered","6a4de15ad2745735a898059c","","","false","NOT_IN_BROMA",""
"Yeh Dil Aashiqan","45350","failed","6a4de314d2745735a898059f","","","true","NOT_IN_BROMA","YES"
"Tu Milta Hai","45511","delivered","6a4cca796d14d7a35153966f","","","false","NOT_IN_BROMA",""
"Tu Neendon Ki RaniAu","45527","failed","6a4ccb926d14d7a351539672","","","true","NOT_IN_BROMA","YES"
"Tu Neendon Ki","45509","delivered","6a4ccc6d6d14d7a351539675","","","false","NOT_IN_BROMA",""
"Tujh Sang Preet","45507","delivered","6a4cccd56d14d7a351539678","","","false","NOT_IN_BROMA",""
"Tujhe Aankho Me Basa","45519","delivered","6a4ccd456d14d7a35153967b","","","false","NOT_IN_BROMA",""
"Tujhe Dekh Ke Paheli Baar","45498","delivered","6a4ccda26d14d7a35153967e","","","false","NOT_IN_BROMA",""
"Tujhe Dekh Ke Paheli","","cancelled","6a4ccdfe6d14d7a351539681","","","false","-",""
"Tujhe Maanga Tha","","cancelled","6a4cce606d14d7a351539684","","","false","-",""
"Tujhko Mirch","","cancelled","6a4ccf6b6d14d7a351539687","","","false","-",""
"Tujhko Mirchi","","cancelled","6a4ccfdd6d14d7a35153968a","","","false","-",""
"Tujhmein Aur Teri Yaad","","cancelled","6a4cd06e6d14d7a35153968d","","","false","-",""
"Tum Mere Baad Mohabbat","","cancelled","6a4cd0d06d14d7a351539690","","","false","-",""
"Tum Se Badhka","","cancelled","6a4cd1986d14d7a351539693","","","false","-",""
"Tum Se Badhkar","","cancelled","6a4cd1f36d14d7a351539696","","","false","-",""
"Tumhein Dil Se Kaise","","cancelled","6a4cd2de6d14d7a351539699","","","false","-",""
"Tumhein Dil Se","","cancelled","6a4cd3af6d14d7a35153969c","","","false","-",""
"Phool Jaisi Muskaan","","cancelled","6a4c71d36d14d7a351539567","","","false","-",""
"Dil Atka Teri Typing Mein","","cancelled","6a4c71d56d14d7a351539568","","","false","-",""
"Pyar To Hota Hai Pyar","","cancelled","6a4c722c6d14d7a35153956d","","","false","-",""
"Qismat Badalta Hai","","cancelled","6a4c72af6d14d7a351539570","","","false","-",""
"Raah Me Unse Mula","","cancelled","6a4c73d96d14d7a351539573","","","false","-",""
"Chand Chhupa Badal Mein","","cancelled","6a4c6eab6d14d7a3515394eb","","","false","-",""
"Chhodenge Na Hum Tera Sath","","cancelled","6a4c6eea6d14d7a3515394f1","","","false","-",""
"Chhupana Bhi Nahi Aata","","cancelled","6a4c6f2a6d14d7a3515394f7","","","false","-",""
"Chupke Se Pyar Hua Hai","","cancelled","6a4c6f896d14d7a35153952a","","","false","-",""
"Darkhaast","","cancelled","6a4c6fff6d14d7a351539530","","","false","-",""
"Mujhy Tum Nazar Se","","cancelled","6a453989161d7aa451fcd5e3","","","false","-",""
"Main Toota Hoon","","cancelled","6a45bb3485cfdba38620afae","","","false","-",""
"Lagi Tumse Man Ki Lagan","","cancelled","6a45bcd985cfdba38620afb1","","","false","-",""
"Kise Nu Pasand Chitte Chole","","cancelled","6a45be5d85cfdba38620afb4","","","false","-",""
"Panna Ki Tamanna","","cancelled","6a4c682d6d14d7a351539477","","","false","-",""
"Tere Bina Ye Saam Adhoori","","cancelled","6a4c69b06d14d7a351539483","","","false","-",""
"EK PARDESI MERA DIL LE GAYA","44971","delivered","6a47e569b1de8b210ab4d9da","","","false","NOT_IN_BROMA",""
"Mohabbat Pyar ","46827","failed","6a47e620b1de8b210ab4d9dd","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Yaad Rakhna Mujhe","46826","failed","6a47e6a2b1de8b210ab4d9e0","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"O Bewafa Janeman","44972","delivered","6a47e722b1de8b210ab4d9e3","","","false","NOT_IN_BROMA",""
"O Rani Teri Kahani","46825","failed","6a47e7bbb1de8b210ab4d9e6","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Panna Ki Tamanna Hai","44966","delivered","6a47e842b1de8b210ab4d9e9","","","false","NOT_IN_BROMA",""
"Dil ke armaan dil se","44968","delivered","6a486748191ffc8b4c204d0c","","","false","NOT_IN_BROMA",""
"Dil ke kone mei","44967","delivered","6a487719191ffc8b4c204d1e","","","false","NOT_IN_BROMA",""
"Dil ke kone mein chhupa","44964","delivered","6a4877e2191ffc8b4c204d21","","","false","NOT_IN_BROMA",""
"Dil keh raha","44962","delivered","6a4883fb191ffc8b4c204d33","","","false","NOT_IN_BROMA",""
"Dil ke armaan jaag","44961","delivered","6a486be4191ffc8b4c204d0f","","","false","NOT_IN_BROMA",""
"Dil ke armaan naye","44960","delivered","6a487332191ffc8b4c204d12","","","false","NOT_IN_BROMA",""
"Dil ke armaan","44959","delivered","6a4875cc191ffc8b4c204d1b","","","false","NOT_IN_BROMA",""
"Dil ke armaan tere","44963","delivered","6a487500191ffc8b4c204d18","","","false","NOT_IN_BROMA",""
"Dil ke armaan sab","44956","delivered","6a48742b191ffc8b4c204d15","","","false","NOT_IN_BROMA",""
"Dil ke kone mein jagi","44954","delivered","6a487882191ffc8b4c204d24","","","false","NOT_IN_BROMA",""
"Dil ke kone mein karein","44955","delivered","6a487952191ffc8b4c204d27","","","false","NOT_IN_BROMA",""
"Dil ke kone mein khushi","44946","delivered","6a487c60191ffc8b4c204d2a","","","false","NOT_IN_BROMA",""
"Dil ke taar bajayein","46824","failed","6a48806f191ffc8b4c204d2d","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dil ke taaron ko","44945","delivered","6a48818e191ffc8b4c204d30","","","false","NOT_IN_BROMA",""
"Dil ki baat hai chhupi","44944","delivered","6a488e72191ffc8b4c204d36","","","false","NOT_IN_BROMA",""
"Dil ki baat hai yeh dil","44942","delivered","6a48906a191ffc8b4c204d39","","","false","NOT_IN_BROMA",""
"Dil ki baat tujhse","46472","processing","6a489164191ffc8b4c204d3c","","","false","NOT_IN_BROMA",""
"Dil ki baatein bhi","46823","failed","6a489241191ffc8b4c204d3f","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dil ki baatein chup","44937","delivered","6a4892ee191ffc8b4c204d42","","","false","NOT_IN_BROMA",""
"Dil ki baaton ke hazaron","46822","failed","6a48940c191ffc8b4c204d45","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dil Laga Liya Maine Tumse Pyaar Karke","46821","failed","6a4898c6191ffc8b4c204d5a","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Do Deewane Pyar Ke","44935","delivered","6a48b280191ffc8b4c204d96","","","false","NOT_IN_BROMA",""
"Dupatta Sarak Raha","44933","delivered","6a48c760191ffc8b4c204da2","","","false","NOT_IN_BROMA",""
"Eka Karel zsg","44931","delivered","6a48ceb4191ffc8b4c204db4","","","false","NOT_IN_BROMA",""
"Eka Karelmnb","44932","delivered","6a48d1ee191ffc8b4c204dba","","","false","NOT_IN_BROMA",""
"Dil Tera Deewana","44930","delivered","6a48d232191ffc8b4c204dbd","","","false","NOT_IN_BROMA",""
"Dil ki dhadkan tere","44924","delivered","6a4894f8191ffc8b4c204d48","","","false","NOT_IN_BROMA",""
"Dil kyoon udaa","44922","delivered","6a4897ef191ffc8b4c204d57","","","false","NOT_IN_BROMA",""
"Diwanon Se Poochho","44925","delivered","6a48b1d8191ffc8b4c204d93","","","false","NOT_IN_BROMA",""
"Din raat ke rang","44927","delivered","6a48b149191ffc8b4c204d90","","","false","NOT_IN_BROMA",""
"Duniya Haseeno Ka","44926","delivered","6a48b361191ffc8b4c204d99","","","false","NOT_IN_BROMA",""
"Dil Tera Deewana","44920","delivered","6a48b37c191ffc8b4c204d9c","","","false","NOT_IN_BROMA",""
"Ek Dil Hai","44921","delivered","6a48c90e191ffc8b4c204da5","","","false","NOT_IN_BROMA",""
"Duniya Haseeno","44919","delivered","6a48b454191ffc8b4c204d9f","","","false","NOT_IN_BROMA",""
"Dilwa Le Gaile Raja","44917","delivered","6a48c917191ffc8b4c204da8","","","false","NOT_IN_BROMA",""
"Ek Ladka Hai Ek","46820","failed","6a48cb4f191ffc8b4c204dab","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Ek Meri Gali Ki Ladki","44915","delivered","6a48cd0a191ffc8b4c204dae","","","false","NOT_IN_BROMA",""
"Ek Meri Gali Ki","44916","delivered","6a48cda2191ffc8b4c204db1","","","false","NOT_IN_BROMA",""
"Eka Karelb","46475","failed","6a48d157191ffc8b4c204db7","","Missing Broma outlet ids","false","NOT_IN_BROMA","YES"
"Eka Karelpopi","46474","failed","6a48d280191ffc8b4c204dc0","","Missing Broma outlet ids","false","NOT_IN_BROMA","YES"
"Eka Karelsfdb","44914","delivered","6a48d353191ffc8b4c204dc3","","","false","NOT_IN_BROMA",""
"Eka Karelu Dil","44912","delivered","6a48d416191ffc8b4c204dc6","","","false","NOT_IN_BROMA",""
"Eka karelu mahe","44913","delivered","6a48d50a191ffc8b4c204dc9","","","false","NOT_IN_BROMA",""
"Gawah Hai Chand Tare","46819","failed","6a48d813191ffc8b4c204dcc","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Gawah Haichand","46476","failed","6a48d8b1191ffc8b4c204dcf","","Missing Broma outlet ids","false","NOT_IN_BROMA","YES"
"Ghar Se Nikal Pada","46477","failed","6a48d95a191ffc8b4c204dd2","","Missing Broma outlet ids","false","NOT_IN_BROMA","YES"
"Gori Hai Kalaiyan","44765","cancelled","6a48da47191ffc8b4c204dd5","","","false","NOT_IN_BROMA",""
"Dil Tera Deewana","44757","delivered","6a48da51191ffc8b4c204dd8","","","false","NOT_IN_BROMA",""
"Dil Tera Deewana","46637","processing","6a48daa5191ffc8b4c204ddb","","","true","NOT_IN_BROMA",""
"Hum Lakh Chupaye Pyaar","46818","failed","6a48f0af4028dc69f7855f67","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dil ki har dhadkan","46817","failed","6a4895af191ffc8b4c204d4b","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dil ki yeh dhadkan","46816","failed","6a48962d191ffc8b4c204d4e","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dil ko ek aasmaan banaya hai","46815","failed","6a4896af191ffc8b4c204d51","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dil Kone Mein","46814","failed","6a489734191ffc8b4c204d54","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dil Laga Liya Maine","46813","failed","6a489960191ffc8b4c204d5d","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dil Maang Raha Hai","46812","failed","6a489a6d191ffc8b4c204d60","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dil Mein Dard Sa Jaga Hai","46811","failed","6a489af3191ffc8b4c204d63","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dil mein jo baatein","46738","failed","6a48a1c9191ffc8b4c204d66","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dil Mein jo ek daag","46810","failed","6a48a2c8191ffc8b4c204d69","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dil Mere Na Aur Intezaar","46809","failed","6a48a390191ffc8b4c204d6c","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dil Ne Dil Se Iqra","46808","failed","6a48a544191ffc8b4c204d6f","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dil Ne Dil Se Iqrar","46807","failed","6a48a60a191ffc8b4c204d72","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dil se chheda","46806","failed","6a48a695191ffc8b4c204d75","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dil se dil ka rishta","46805","failed","6a48a74a191ffc8b4c204d78","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dil Tera Deewana","46804","failed","6a48a7e3191ffc8b4c204d7b","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dilon ke raaste se","46803","failed","6a48a869191ffc8b4c204d7e","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dilwa Le Gaile Raja","46802","failed","6a48a996191ffc8b4c204d81","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dilwa Le Gaile Raja","46801","failed","6a48adf5191ffc8b4c204d84","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dilwa Le Gaile","46800","failed","6a48af22191ffc8b4c204d87","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dilwale Jo Rumal Mein","46799","failed","6a48b05a191ffc8b4c204d8a","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Dilwale Jo Rumal","46798","failed","6a48b0ce191ffc8b4c204d8d","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Hadh Kar Di Aapne","46797","failed","6a48db9a191ffc8b4c204dde","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Hadh Kar Dil","44742","cancelled","6a48de434028dc69f7855f3e","","","false","NOT_IN_BROMA",""
"Hamare Raj Chalta","44714","cancelled","6a48df324028dc69f7855f41","","Release deleted by admin","false","NOT_IN_BROMA",""
"Hamein Tumse Hua Hai","44720","delivered","6a48dfd54028dc69f7855f44","","","false","NOT_IN_BROMA",""
"Hamein Tumse Hua","44718","processing","6a48e04b4028dc69f7855f47","","","false","NOT_IN_BROMA",""
"Hamne Tumko Dil Ye","44723","processing","6a48e4884028dc69f7855f4a","","","false","NOT_IN_BROMA",""
"Har Kisike Dil Me Ek","44721","processing","6a48e5624028dc69f7855f4d","","","false","NOT_IN_BROMA",""
"Har Pal Mere Hothon","44713","delivered","6a48e5e24028dc69f7855f50","","","false","NOT_IN_BROMA",""
"Heart is Crazy","44716","delivered","6a48e76e4028dc69f7855f56","","","false","NOT_IN_BROMA",""
"Hawa mein uda","44712","delivered","6a48e6ad4028dc69f7855f53","","","false","NOT_IN_BROMA",""
"Bhool Na Jana Na Hona Anjaan","44717","delivered","6a48ed324028dc69f7855f5e","","","false","NOT_IN_BROMA",""
"Hum Aapke Bina","46796","failed","6a48ef174028dc69f7855f61","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Hum Aise Pyar Ki","44711","delivered","6a48f02e4028dc69f7855f64","","","false","NOT_IN_BROMA",""
"Hum Lakh Chupaye","44709","delivered","6a48f13b4028dc69f7855f6a","","","true","NOT_IN_BROMA",""
"Hamein Tumse Hua","44710","delivered","6a48f1654028dc69f7855f6d","","","false","NOT_IN_BROMA",""
"Dil Tera Deewana","44707","delivered","6a48f1744028dc69f7855f70","","","false","NOT_IN_BROMA",""
"Aisaa Lagataa Hai","46795","failed","6a4911d54028dc69f7855fc5","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Hum Tumhare","44699","delivered","6a49b1334028dc69f7855fda","","","false","NOT_IN_BROMA",""
"Aaja Aai Bahar Dil Hai Beqarar","46794","failed","6a48fd854028dc69f7855f8b","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Aaja Ke Intezar Main","46793","failed","6a48fde84028dc69f7855f96","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Aane Se Uske Aaye Bahar","","failed","6a48fe534028dc69f7855f99","","Connector validation failed: Track 1: missing ISRC","true","-",""
"Aankh Churaaye","44703","delivered","6a48fed34028dc69f7855f9c","","","false","NOT_IN_BROMA",""
