relName,bid,state,releaseId,trackId,error,bsonTag,category,bromaModStatus,bromaStep,inDrafts,inReleases
"Bansuriya Ab Yeh Hi Pukare",43814,delivered,6a45cb1285cfdba38620affb,,"",,NOT_IN_BROMA,-,-,false,false
"Bardash Nahi Hola",43812,delivered,6a45cb8585cfdba38620b008,,"",,NOT_IN_BROMA,-,-,false,false
"Aaj Phir Jeene Ki Tamanna Hai",43810,delivered,6a45cb8885cfdba38620b00b,,"",,NOT_IN_BROMA,-,-,false,false
"Barish Ki Bundi",43809,delivered,6a45cc0c85cfdba38620b00e,,"",,NOT_IN_BROMA,-,-,false,false
"AAP JO MERE MEET NA HOTE",43807,delivered,6a45cc4f85cfdba38620b011,,"",,NOT_IN_BROMA,-,-,false,false
"Barish Ki Bundiye",43805,delivered,6a45cc8085cfdba38620b014,,"",,NOT_IN_BROMA,-,-,false,false
"AISAA LAGTAA HAI",43803,delivered,6a45ccb585cfdba38620b017,,"",,NOT_IN_BROMA,-,-,false,false
"Beshak Tum Meri Ho",43801,delivered,6a45cd2785cfdba38620b01a,,"",,NOT_IN_BROMA,-,-,false,false
"Beta Apni Maa Se Kabhi",43799,delivered,6a45cdad85cfdba38620b01d,,"",,NOT_IN_BROMA,-,-,false,false
"Chehra Ye Chand Ki Raat Mein",43797,delivered,6a47e18fb1de8b210ab4d8d5,,"",,NOT_IN_BROMA,-,-,false,false
"Bahon Mein Botal Botal Mein Daru",43795,delivered,6a45cdb785cfdba38620b020,,"",,NOT_IN_BROMA,-,-,false,false
"BIJLI SA DIL",43793,delivered,6a45ce2085cfdba38620b023,,"",,NOT_IN_BROMA,-,-,false,false
"Beta Apni Maa Se",43790,delivered,6a45ce2485cfdba38620b026,,"",,NOT_IN_BROMA,-,-,false,false
"Chale To Kat Hi Jaayega Safar",43789,delivered,6a45ce9285cfdba38620b029,,"",,NOT_IN_BROMA,-,-,false,false
"Bhaiya Lago Hi Bhatar",43787,delivered,6a45ceb985cfdba38620b02c,,"",,NOT_IN_BROMA,-,-,false,false
"Hamen Aur Jeene Ki",43784,delivered,6a45cf1085cfdba38620b031,,"",,NOT_IN_BROMA,-,-,false,false
"Bhatar Kaise Kahabo",43783,delivered,6a45cf7e85cfdba38620b038,,"",,NOT_IN_BROMA,-,-,false,false
"Jabse Tujhko Jaana",43780,delivered,6a45cf8385cfdba38620b03b,,"",,NOT_IN_BROMA,-,-,false,false
"KAANTA LAGA",43779,delivered,6a45d01085cfdba38620b040,,"",,NOT_IN_BROMA,-,-,false,false
"Chahat Ka Ilaka Hai",43776,delivered,6a47e130b1de8b210ab4d8a0,,"",,NOT_IN_BROMA,-,-,false,false
"Bheegi Hui Hai Raat",43775,delivered,6a45d01e85cfdba38620b043,,"",,NOT_IN_BROMA,-,-,false,false
"Kabhi Shaam Dhale",43772,delivered,6a45d07a85cfdba38620b046,,"",,NOT_IN_BROMA,-,-,false,false
"Aaja Sanam",43771,delivered,6a47ddf9b1de8b210ab4d879,,"",,NOT_IN_BROMA,-,-,false,false
