relName,bid,releaseId,trackId,reason,bromaAction,mongoAction,details
"Bindiya Chamkegi Chudi Khankegi",44413,6a4b032c3576ebe4b14b7e3e,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Dil Ke Armaan Aansuon Mein Beh Gaye",44406,6a4b038e3576ebe4b14b7e4d,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Mohabbat Me Sawarne Lage Hai",44407,6a4b03ac3576ebe4b14b7e53,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Mohabbat Ki Nahi Jati",44326,6a4b0f3a3576ebe4b14b7ea4,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Panchhi Sur Mein",44255,6a4b237c3576ebe4b14b7f43,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Aaj Phir Jeene Ki Tamanna Hai",44491,6a48fc6d4028dc69f7855f76,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Can Enchanting Dance",43709,6a45e76885cfdba38620b090,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Chand Ke Paar Le Jaiba",43687,6a45fd9385cfdba38620b0dc,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Chand Ke Paar Le",43685,6a45fe3385cfdba38620b0df,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Chhouri Dilli Wali Dil Tor Delkai",43674,6a46014285cfdba38620b0e8,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Chhouri Dilli Wali Dil Tor",43673,6a46021785cfdba38620b0eb,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Chhouri Dilli Wali Dil",43670,6a46029485cfdba38620b0ee,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Chhup gaya hoon",43669,6a4603d685cfdba38620b0f1,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Chhupa ke rakhalu",43666,6a46048d85cfdba38620b0f4,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Chori Chori Dil Tera",43665,6a46052e85cfdba38620b0f7,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Chudiya One Beat",43662,6a46065285cfdba38620b0fa,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Chunnari Chunnari",43661,6a4606db85cfdba38620b0fd,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Dandiye Ke Bahane",43636,6a479c2472193f420bd66a58,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Aye Dil Aye Dil",43121,6a4501c0161d7aa451fcd506,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Lost in Her Silence",45034,6a44787c63d9e483edd4c66e,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Aaj Bhar Dhil Da Dhodi Jan",45031,6a449fe963d9e483edd4c674,,Deleted from Broma,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
"Aaj Ki Raat",46481,6a44a51163d9e483edd4c67d,,File missing from disk,already_gone,deleted,"Already deleted from Broma; MongoDB deleted"
